id_str,created_at,text
949984674029494272,2018-01-07 12:42:50,"Hey @pybites just completed(kindoff) challenge 4, but I keep getting only 99 tweets. I even tried to use the code i… https://t.co/vk6gcADVOS"
949907510500233216,2018-01-07 07:36:13,@jcastle13 @pybites Good luck! I’ll drop you a tip though - sorting is important! I was pretty stuck on the challenge until I found this 😂
949205486259359746,2018-01-05 09:06:37,Just learned why dict.get() is a much better version to get a dict value because you can pass a default value if th… https://t.co/x1daYHsFSz
949170160140804096,2018-01-05 06:46:15,RT @nickbarret: Opsdroid is an #OpenSource #Python Chatbot Framework; help them get 100⭐️'s on Github so they can collect donations and get…
948773495269478402,2018-01-04 04:30:03,"RT @pycoders: Senior Python Programmers, what tricks do you want to impart to us young guns? – https://t.co/lKCEgHxmZi"
948772503975014400,2018-01-04 04:26:06,"@noopkat Also, earplugs are definitely not the answer. I used them on the night of New Years and they are the most… https://t.co/Dbwj7m9uO1"
948772262152458240,2018-01-04 04:25:09,@noopkat I know the feeling so well. I moved from a bit city to a small country side one when coming to the UK. Eve… https://t.co/j4aEVLzl7q
948771445282365441,2018-01-04 04:21:54,@cthought14 @pybites That sounds like a good way to do it. In my case will be hard because I do shift work and usua… https://t.co/2TXQhXvllm
948632471947612160,2018-01-03 19:09:40,"Unsure what to do with my python learning so I’ll start @pybites #100DaysOfCode, but due to work I know that it wil… https://t.co/ZLOvJ5V6tS"
948104076583145472,2018-01-02 08:10:01,Great read and explanation on how to use Dunder methods https://t.co/QE7boEM7oE
947520235036463106,2017-12-31 17:30:02,The year is ending and I’m off to bed because tomorrow I’ll wake up at 3 am for work.  Please enjoy your party for me!
946831859031445505,2017-12-29 19:54:41,I love how VSCode looks like but had some issues when trying to run code from it. Only works when I use the terminal.  Anyone else?
946727165923680257,2017-12-29 12:58:40,Spent the whole morning playing around with my arduino. This is such an amazing toy!
946083188954279936,2017-12-27 18:19:44,I’ve finally found out what the issue was. The issue was resolved and the theme is now live. YAY!
946074320694112257,2017-12-27 17:44:29,Updating the theme on github has been harder than I’ve expected...
945992770661109760,2017-12-27 12:20:26,Finishing off the last details and documentation for the theme after being away working/cooking/eating over the Christmas period.
945962976242216960,2017-12-27 10:22:03,@virginmedia My client page said everything was fine here so I don’t know. But all is well now thanks 👍
945705638755209216,2017-12-26 17:19:29,@Fillip07 Eu... mas só 11 horas 👍
945030746066112512,2017-12-24 20:37:42,"RT @scottlynch78: Reactions to Socks as a Christmas Gift by Calendar Age:  0-3: blurb nurg (eats socks) 4-12: oh, socks 13-18: (SIGH) socks…"
945030134301712385,2017-12-24 20:35:16,@_JoKaiser Merry Christmas!
945027699646586880,2017-12-24 20:25:36,One of the most amazing presents ever! https://t.co/yQJxcrVBXd
944633973283721216,2017-12-23 18:21:04,I’ve also finally finished my theme. Just need to fix documentation and it will be ready for release.
944633534412722176,2017-12-23 18:19:19,Most of the food for Christmas Eve is prepared tomorrow it’s just finish it off and eat! Shame I need to go to work in the morning 😩
944606306014498816,2017-12-23 16:31:07,@virginmedia I was using the wireless connection and it wasn’t going further than 1-2 MB/s after running the test o… https://t.co/DSXP15cumj
944471889149341696,2017-12-23 07:37:00,Getting a whooping 1.89 Mbp/s on my virgin media. I know these are busy times with all the streaming and whatever but man…
943906833613443072,2017-12-21 18:11:40,@Fillip07 Já sacaste?
943867992051462146,2017-12-21 15:37:20,@Fillip07 Haha tu quase que nem apareces no meu feed. Mas também eu raramente estou a ler o que se passa aqui 😂
943867835029360641,2017-12-21 15:36:42,I just need to find time to do some coding in Python as I’m feeling the need for it!
943867717966336000,2017-12-21 15:36:14,I’m probably taking ages creating this template but it’s been fun so far.
943866340401655810,2017-12-21 15:30:46,"Blog area done. Just need to finish the About Me page and the theme will be pretty much ready, then it’s just little tweaks!"
943834590384443392,2017-12-21 13:24:36,@Fillip07 Spark it’s amazing 👍
943610010675838976,2017-12-20 22:32:12,@jensimmons I’m sort of working on a better version of my theme. Does that count?
943600999926726656,2017-12-20 21:56:24,Okay so the new theme for my portfolio is almost done. I’m quite happy with what I’ve achieved so far and building… https://t.co/m39CQ3NIAD
943600237607903232,2017-12-20 21:53:22,RT @miguelgrinberg: Part 3 of the new Flask Mega-Tutorial is now online! https://t.co/le72j4zoYp https://t.co/EtJLsUqQsi
943525264780398593,2017-12-20 16:55:27,@kennethreitz Unfortunately it’s very easy to criticise someone’s work. You did a blasting job and I’d like to thank you for it 👍
942017991096590336,2017-12-16 13:06:05,The #Hacktoberfest shirt finally arrived! So happy 😁 https://t.co/dnhXUgZrT8
941740144633229312,2017-12-15 18:42:01,Decided to give VS Code another try… I might switch from pycharm!
941672773797253125,2017-12-15 14:14:19,"RT @MackenzieAstin: Hey, @AjitPaiFCC, today my mom would have turned 71. But she didn't. Because she died in March of 2016. Can you please…"
941598946685800449,2017-12-15 09:20:57,The MacBook Pro just went back in time and apparently today is the 1st of January 2017
941384279036256257,2017-12-14 19:07:56,@_JacobTomlinson @github @digitalocean Nice! Mine got delayed until January 😩
940939864283013120,2017-12-13 13:42:00,Wow this nap was probably one of the best things that happened this week so far 😂
940645753948721164,2017-12-12 18:13:18,@_JoKaiser If they do it like in the summer they might announce it a day before up to 12 hours before the flight :/
940161431319740417,2017-12-11 10:08:47,@_JoKaiser I’ve discovered something worst than heavy rain. Rain and snow together! *soaked like hell*
940134546586193920,2017-12-11 08:21:57,@_JoKaiser I know the feeling all my friends were posting pictures of snowmen and cities covered in snow. We got rain... that’s it 😩
940127591142445056,2017-12-11 07:54:19,"Then again, having days off on the weekend is weird… How can you do all the shopping with so many people out and about?"
940127358211805184,2017-12-11 07:53:23,Today’s the first time that I’m going to start a working week on a Monday. It feels odd.
939818182919024640,2017-12-10 11:24:50,I’m sure snow will come tomorrow when I have to work and it will be chaos to try and fly from-to the airport...
939809731719426048,2017-12-10 10:51:15,Snow everywhere in London and arround… but not close to Gatwick. Damm… I wanted some snow!
939506208012193794,2017-12-09 14:45:09,Just bought a Christmas tree. The new car is full of needles but heck it is a beautiful tree! 🎄
938153579826819074,2017-12-05 21:10:18,Is it weird that I feel bad when I spent a day just chilling instead of learning and coding?
937639653183803394,2017-12-04 11:08:08,Throwback from August. I miss the warmth and beautiful sunsets.  #beach #sunset #travel #throwback #travelling… https://t.co/rYNSF7fjJU
937617772556759040,2017-12-04 09:41:11,I’ve been trying to sort my book collection (both digital and physical). I came to the conclusion that I’m a book hoarder.
937608916359409664,2017-12-04 09:06:00,I foresee a day full of coffee in my future... 😴
937444020472745987,2017-12-03 22:10:46,If I get daily emails of your site/app and I haven’t subscribed to a daily course or something. Chances are I’m uns… https://t.co/NdR1EbJ7Jv
937415543203815426,2017-12-03 20:17:36,RT @djangoproject: Django 2.0 released https://t.co/A0kqNqu4QG
937258888583417857,2017-12-03 09:55:07,@_JoKaiser This week won’t be too bad it will be cold by the end of the week only haha
937256864802328576,2017-12-03 09:47:04,The iPhone case arrived now I’m not afraid to take the iPhone with me 😂
937059092308414464,2017-12-02 20:41:11,The iPhone doesn’t like my face with glasses it seems.
937054655460401152,2017-12-02 20:23:34,The phone it’s really really warm must be all the downloading... hopefully
937054192618889216,2017-12-02 20:21:43,My iPhone X finally arrived! 😀
937051601356951553,2017-12-02 20:11:25,@_JoKaiser Oh okay where in the UK? It’s a bit chilly now here haha
936876704617840641,2017-12-02 08:36:27,@_JoKaiser Best place to do some focus work haha  Where are you going today?
936720741449465858,2017-12-01 22:16:42,Spent the whole day trying to fix an issue where my django app didn’t reload properly. The issue was on the templat… https://t.co/cFirNON1v0
936553884503494656,2017-12-01 11:13:41,@DPD_UK I'm getting a delivery tomorrow. If I give my ID to my fiancé will she be able to take the package? I'm working tomorrow.
936222819595313153,2017-11-30 13:18:09,Been struggling with trying to customise bootstrap’s toggle-icon. So I’ve replaced it with the ☰ symbol
935936643374239744,2017-11-29 18:20:59,@_JoKaiser And like you say writing travel blog posts might be a bit different but once you get used to it is easy… https://t.co/p0SSlQFQ4s
935936462016733185,2017-11-29 18:20:16,@_JoKaiser Oh that’s awesome! I couldn’t go past 20 haha you should totally do it! 👍
935888277621657600,2017-11-29 15:08:48,I’ve forgotten how cold my house in Portugal is in the winter. Can’t wait to go back to the real cold in the uk and my gas heated flat ❤️
935872123599548417,2017-11-29 14:04:36,@_JoKaiser I’m sure you can do it! Sometimes the problem with a travel blog is to feed it content after a while haha
935773111852716033,2017-11-29 07:31:10,"RT @lemiorhan: Dear @AppleSupport, we noticed a *HUGE* security issue at MacOS High Sierra. Anyone can login as ""root"" with empty password…"
935770134492442629,2017-11-29 07:19:20,@_JoKaiser Can’t wait to see it 👍
935579729142472706,2017-11-28 18:42:44,@_JoKaiser Yeah it is warmer than the UK but our flats don’t have heating so you kinda feel cold all the time which is not nice haha
935557456364818433,2017-11-28 17:14:14,@_JoKaiser Indeed and I much rather spend a winter in the UK than in Portugal. I love my heated flat in UK haha
935515765209550848,2017-11-28 14:28:34,@TRIPSGET_en @RevolutApp If you are in the UK I’d recommend checking Monzo. I’m really happy with them
935515598469115904,2017-11-28 14:27:54,@_JoKaiser Haha same thing in the UK. It’s funny when I say that it rains more in Portugal than in the UK
935444961960620032,2017-11-28 09:47:13,"Dang, just got an email about Hacktoberfest saying that my shirt will be here in January now :("
935229125652045824,2017-11-27 19:29:33,Just ordered my new iPhone X now the waiting game begins!
931854770641559552,2017-11-18 12:01:05,"@kennethreitz I was looking at cases and the Anker case says it allows wireless charging, I haven’t tried it yet tho"
931453738891595777,2017-11-17 09:27:31,Just went from not breaking any plates/cups for 10 years to break two in a row in the last two days. What the hell?
931433977524736001,2017-11-17 08:09:00,"@SamuelDataT I’m using iTerm2 at the moment. I haven’t checked tmux yet, will do in a second though!"
930479716406046722,2017-11-14 16:57:06,Working on PyBites challenges reminded me how much of Python I still need to learn
930058074857132033,2017-11-13 13:01:39,Just woke up with the Rudolph the Red Nosed Reindeer song stuck to my head.  Must be this cold - Christmas is almost here!
929214517023821824,2017-11-11 05:09:39,"RT @dbader_org: ""What's the most used language in programming?""  ""Profanity."""
927818361064574976,2017-11-07 08:41:49,@kennethreitz Let us know how it goes. I’m getting the X as well and was wondering to do the same as you... but all that glass!
926530873402544129,2017-11-03 19:25:48,"@_JacobTomlinson Thanks! I like it as well :D I'm running just three plugins at the moment: airline, signify and syntastic"
926433040141897728,2017-11-03 12:57:03,I'm really enjoying working on the book TDD with  Python with only the CLI and vim https://t.co/R8Wd4mNdpf
