id_str,created_at,text
949831826910031872,2018-01-07 02:35:29,@brianokken @pybites No way! HAPPY BIRTHDAY @brianokken!! How'd you celebrate mate?
949566311427858432,2018-01-06 09:00:25,@FerroRodolfo @pybites Thanks Rod!! The next challenge/bite is to get @bbelderbos to bake me a cake!
949566107773382656,2018-01-06 08:59:36,"@brianokken @pybites It's the 6th! But y'know what, I like to have a full month for birthday celebrations, so whatever works mate! ;)"
949565542846808064,2018-01-06 08:57:22,@RobHimself1982 @pybites I still have that feeling Rob!! Keeps you motivated though doesn't it! Keep it up mate!
949565081141964801,2018-01-06 08:55:32,RT @RobHimself1982: Day 4 of #100DaysOfCode ongoing. Another @pybites challenge. This one is about writing a simple class. No idea what I'm…
949564861368885250,2018-01-06 08:54:39,Haha! A free bite for me? You shouldn't have! (Disclaimer: It's not cake). https://t.co/CrbBKcqs7u
949564599577137154,2018-01-06 08:53:37,Made the podcast! Thanks Mike and Brian!! https://t.co/nCytnOi62N
949430044169945088,2018-01-05 23:58:56,The community just keeps growing man! Love it! https://t.co/4muzQlSCNt
949004958174666752,2018-01-04 19:49:48,Huge fan of Mike's courses! This is awesome! https://t.co/pRoXb7xj20
948888676624359424,2018-01-04 12:07:44,RT @pybites: Beginner Pythonistas tend to have trouble parsing nested data structures.   Here is a Bite of Py to practice just that: https:…
947935564560416768,2018-01-01 21:00:25,Great article @Mridu__ ! Definitely want to give this a chop this week! https://t.co/ed57lC2Jga
947076387935895553,2017-12-30 12:06:21,@peafritters @taste_team Looks YUM Ruth! Huge crackling fan here!!  Where do you get your molasses from? Was search… https://t.co/YXM37tbYKd
947070911663849472,2017-12-30 11:44:35,PyBites Code Challenges | Bite 10. Practice exceptions -  This one was FUN!! Definitely learned something new!… https://t.co/7T3lbuCkQP
946296316862140416,2017-12-28 08:26:37,RT @FerroRodolfo: Wanna visualize your #Twitter #hashtags in a cool way? Check this out: https://t.co/fXBHDBjJdY  An output example extract…
944102507202019328,2017-12-22 07:09:12,It's time to get #coding! Our #Python code challenge platform is live! https://t.co/CjqbjEbKhM
941820132053024768,2017-12-15 23:59:52,RT @FerroRodolfo: Thank you so so much @pybites ! Best book gift of the year! #Python #Bots #DisAtBot Cc. @bbelderbos @_juliansequeira @ash…
941820101505847297,2017-12-15 23:59:45,@FerroRodolfo @pybites @bbelderbos @ashevat This just made my day! So cool!! Best gift of the year haha! Good on you Rodolfo!
940918033161129987,2017-12-13 12:15:15,"@FerroRodolfo @pybites @bbelderbos You are so welcome Rodolfo! This just blew me away! Again, well done! Let's hope… https://t.co/uXMKTtmnrf"
940890175311196160,2017-12-13 10:24:33,@brnkimani @pybites Thanks Bryan!!
940890127479349248,2017-12-13 10:24:21,"RT @brnkimani: I have stumbled upon https://t.co/ZAeaNjIBKM today &amp;&amp; mind you, they have a vast, great resources for #python =&gt; article, ne…"
940427700300169216,2017-12-12 03:46:50,RT @pybites: Our guest post is up! Thanks @RealPython https://t.co/4sn5ygKren
940427583744651264,2017-12-12 03:46:22,RT @fullstackpython: Building a Simple Birthday App with Flask-SQLAlchemy by @pybites https://t.co/WCmm5PzZwK https://t.co/uDf5zg9teX
939362196659802113,2017-12-09 05:12:54,I just earned the 'Down Under (Level 10)' badge on @untappd! https://t.co/af5GXYagUa
939362191752429569,2017-12-09 05:12:53,I just earned the 'Riding Steady (Level 2)' badge on @untappd! https://t.co/ZJo0SUNTn0
939111487959834624,2017-12-08 12:36:41,RT @pybites: New Article / guest post is up:  Using #Pandas and #Seaborn to solve PyBites Marvel Challenge https://t.co/zK1PhvU47c  - thank…
939111464798887936,2017-12-08 12:36:35,"RT @pythonbytes: How much Flask can you handle at once? It's @pythonbytes #55: Flask, Flask, Flask, 3x Flask https://t.co/T2JNeQKmpK (cc @b…"
939111439297417216,2017-12-08 12:36:29,RT @pybites: New PyBites Code Challenge 45 is up: #TDD: Code #FizzBuzz Writing Tests First! https://t.co/cStZFUWm36 - have fun with #Python
939111404635693057,2017-12-08 12:36:21,@FerroRodolfo @pybites Awesome work mate!!
939110719647236096,2017-12-08 12:33:38,@pybites @pythonbytes @brianokken Oh heck yes! I tried to listen to this in the car but apparently my kids don't sh… https://t.co/KQpUCIxdQL
937587917886648320,2017-12-04 07:42:33,"RT @github: This December, join @24PullRequests and contribute your bug fixes, documentation, and more to the open source projects you use…"
937521431335682048,2017-12-04 03:18:22,Some great articles in this one! https://t.co/n7AatoEGH1
